id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 0.0, 0, 0
11, 0.0, 0, 0
12, 0.0, 0, 0
13, 0.0, 0, 0
14, 0.0, 0, 0
15, 0.0, 0, 0
16, 0.0, 0, 0
17, 5.646, 1719, 587
18, 1.846, 906, 912
19, 12.226, 3595, 783
20, 46.384, 2937, 707
21, 62.63, 3742, 803
22, 126.718, 4943, 927
23, 130.504, 4945, 954
24, 225.45, 5061, 958
25, 325.36, 5933, 949
26, 478.878, 5230, 941
27, 299.846, 5889, 846
28, 230.324, 6649, 932
29, 344.454, 6337, 931
30, 599.004, 5818, 813
31, 514.324, 6149, 565
32, 621.416, 6708, 933
33, 951.246, 6819, 987
34, 874.402, 6819, 987
35, 1079.628, 7291, 911
36, 1614.28, 7586, 880
37, 1835.536, 8003, 975
38, 1613.352, 8347, 895
39, 1889.616, 8003, 975
40, 1329.458, 8347, 895
41, 1660.084, 8416, 923
42, 2097.444, 8557, 974
43, 1688.596, 8557, 974
44, 1961.37, 8557, 974
45, 2332.716, 8709, 986
46, 2508.294, 8557, 974
47, 2781.288, 8709, 986
48, 2827.026, 8709, 986
49, 2673.632, 8709, 986
50, 2991.158, 8709, 986
51, 1992.204, 8709, 986
52, 2279.194, 8709, 986
53, 2335.116, 8709, 986
54, 2556.858, 8709, 986
55, 3001.574, 8709, 986
56, 3326.934, 8709, 986
57, 3721.646, 8709, 986
58, 4082.164, 8709, 986
59, 3140.344, 8709, 986
60, 3323.302, 8709, 986
61, 3652.138, 8709, 986
62, 4122.874, 8709, 986
63, 4477.984, 8709, 986
64, 4676.214, 8709, 986
65, 5060.36, 8709, 986
66, 5229.44, 8709, 986
67, 5445.886, 8709, 986
68, 5796.678, 8709, 986
69, 4383.28, 8709, 986
70, 4595.978, 8709, 986
71, 4978.598, 8709, 986
72, 5194.078, 8709, 986
73, 5401.762, 8709, 986
74, 5533.446, 8709, 986
75, 6510.618, 8709, 986
76, 6276.352, 8709, 986
77, 6137.004, 8709, 986
78, 6472.598, 8709, 986
79, 4263.878, 8709, 986
80, 4515.046, 8709, 986
81, 4712.144, 8709, 986
82, 5192.75, 8709, 986
83, 5363.64, 8709, 986
84, 4905.936, 8709, 986
85, 5151.726, 8709, 986
86, 5397.644, 8709, 986
87, 5944.34, 8709, 986
88, 5868.744, 8709, 986
89, 6259.262, 8709, 986
90, 6527.36, 8709, 986
91, 6553.21, 8709, 986
92, 7025.982, 8709, 986
93, 6991.966, 8709, 986
94, 7080.766, 8709, 986
95, 7074.858, 8709, 986
96, 7595.082, 8709, 986
97, 7672.116, 8709, 986
98, 7585.632, 8709, 986
99, 7757.156, 8709, 986
100, 7609.182, 8709, 986
101, 7875.852, 8709, 986
102, 8072.77, 8709, 986
103, 8071.236, 8709, 986
104, 8034.528, 8709, 986
105, 8337.324, 8709, 986
106, 5428.15, 8709, 986
107, 6211.884, 8709, 986
108, 6059.268, 8709, 986
109, 5416.998, 8709, 986
110, 6336.398, 8709, 986
111, 6297.912, 8709, 986
112, 6253.062, 8709, 986
113, 6437.716, 8709, 986
114, 5066.218, 8709, 986
115, 5445.398, 8709, 986
116, 5500.812, 8709, 986
117, 5016.384, 8709, 986
118, 5207.982, 8709, 986
119, 5675.652, 8709, 986
120, 5887.284, 8709, 986
121, 6460.216, 8709, 986
122, 6078.882, 8709, 986
123, 6513.418, 8709, 986
124, 6739.484, 8709, 986
125, 6949.782, 8709, 986
126, 6878.658, 8709, 986
127, 7036.872, 8709, 986
128, 7366.232, 8709, 986
129, 7401.368, 8709, 986
130, 5138.31, 8709, 986
131, 5416.998, 8709, 986
132, 5817.612, 8709, 986
133, 5626.014, 8709, 986
134, 6321.152, 8709, 986
135, 3675.198, 8709, 986
136, 4267.41, 8709, 986
137, 4632.05, 8709, 986
138, 4789.95, 8709, 986
139, 4877.04, 8709, 986
140, 5643.432, 8709, 986
141, 5939.538, 8709, 986
142, 6444.66, 8709, 986
143, 6355.754, 8709, 986
144, 6566.586, 8709, 986
145, 6810.438, 8709, 986
146, 7054.29, 8709, 986
147, 7158.798, 8709, 986
148, 5521.506, 8709, 986
149, 6113.718, 8709, 986
150, 3657.78, 8709, 986
151, 4319.664, 8709, 986
152, 4998.966, 8709, 986
153, 4772.532, 8709, 986
154, 4964.13, 8709, 986
155, 5521.506, 8709, 986
156, 5538.924, 8709, 986
157, 5939.538, 8709, 986
158, 6026.628, 8709, 986
159, 6427.242, 8709, 986
160, 6827.856, 8709, 986
161, 6758.184, 8709, 986
162, 7000.754, 8709, 986
163, 7420.068, 8709, 986
164, 5765.358, 8709, 986
165, 6253.062, 8709, 986
166, 6514.332, 8709, 986
167, 6705.93, 8709, 986
168, 7036.872, 8709, 986
169, 7385.232, 8709, 986
170, 7350.396, 8709, 986
171, 7263.306, 8709, 986
172, 7437.486, 8709, 986
173, 7507.158, 8709, 986
174, 7698.756, 8709, 986
175, 7698.756, 8709, 986
176, 7755.816, 8709, 986
177, 7838.562, 8709, 986
178, 7903.806, 8709, 986
179, 7144.612, 8709, 986
180, 7321.604, 8709, 986
181, 6540.732, 8709, 986
182, 6482.602, 8709, 986
183, 6603.08, 8709, 986
184, 7108.16, 8709, 986
185, 6081.946, 8709, 986
186, 6494.144, 8709, 986
187, 5511.454, 8709, 986
188, 4103.492, 8709, 986
189, 4524.378, 8709, 986
190, 4615.812, 8709, 986
191, 5183.366, 8709, 986
192, 5393.83, 8709, 986
193, 5585.428, 8709, 986
194, 5885.878, 8709, 986
195, 6412.762, 8709, 986
196, 6395.344, 8709, 986
197, 6578.254, 8709, 986
198, 6775.644, 8709, 986
199, 7139.974, 8709, 986
200, 7002.078, 8709, 986
201, 7305.424, 8709, 986
202, 6469.36, 8709, 986
203, 6656.614, 8709, 986
204, 6553.554, 8709, 986
205, 7093.512, 8709, 986
206, 6996.244, 8709, 986
207, 6994.796, 8709, 986
208, 6720.452, 8709, 986
209, 6978.826, 8709, 986
210, 7064.468, 8709, 986
211, 4399.514, 8709, 986
212, 5064.294, 8709, 986
213, 5344.43, 8709, 986
214, 5798.746, 8709, 986
215, 5851.0, 8709, 986
216, 6216.778, 8709, 986
217, 6181.942, 8709, 986
218, 6373.54, 8709, 986
219, 6581.108, 8709, 986
220, 6758.184, 8709, 986
221, 7274.932, 8709, 986
222, 6478.048, 8709, 986
223, 6322.734, 8709, 986
224, 4858.174, 8709, 986
225, 4772.532, 8709, 986
226, 5242.818, 8709, 986
227, 3797.124, 8709, 986
228, 4162.902, 8709, 986
229, 3342.808, 8709, 986
230, 3743.422, 8709, 986
231, 3688.272, 8709, 986
232, 4006.14, 8709, 986
233, 4389.336, 8709, 986
234, 4807.368, 8709, 986
235, 5051.22, 8709, 986
236, 5486.67, 8709, 986
237, 5364.744, 8709, 986
238, 5746.492, 8709, 986
239, 6235.644, 8709, 986
240, 4319.664, 8709, 986
241, 4528.68, 8709, 986
242, 3553.272, 8709, 986
243, 3448.764, 8709, 986
244, 3483.6, 8709, 986
245, 3448.764, 8709, 986
246, 2177.25, 8709, 986
247, 2682.372, 8709, 986
248, 2543.028, 8709, 986
249, 2334.012, 8709, 986
250, 2386.266, 8709, 986
251, 2978.478, 8709, 986
252, 3588.108, 8709, 986
253, 2281.758, 8709, 986
254, 2752.044, 8709, 986
255, 3030.732, 8709, 986
256, 3152.658, 8709, 986
257, 2229.504, 8709, 986
258, 2438.52, 8709, 986
259, 2908.806, 8709, 986
260, 3448.764, 8709, 986
261, 3466.182, 8709, 986
262, 3187.494, 8709, 986
263, 3884.214, 8709, 986
264, 4180.32, 8709, 986
265, 4807.368, 8709, 986
266, 2896.984, 8709, 986
267, 3062.85, 8709, 986
268, 2714.142, 8709, 986
269, 3156.436, 8709, 986
270, 3236.698, 8709, 986
271, 3823.392, 8709, 986
272, 4011.06, 8709, 986
273, 3990.04, 8709, 986
274, 4479.586, 8709, 986
275, 4504.18, 8709, 986
276, 4674.25, 8709, 986
277, 5424.886, 8709, 986
278, 5384.97, 8709, 986
279, 5760.552, 8709, 986
280, 5968.082, 8709, 986
281, 5928.17, 8709, 986
282, 6517.754, 8709, 986
283, 6468.386, 8709, 986
284, 4467.688, 8709, 986
285, 4856.236, 8709, 986
286, 5265.502, 8709, 986
