id, avg_value, best_value, best_weight
0, 113.51, 290, 237
1, 118.805, 294, 260
2, 118.785, 295, 269
3, 130.9, 295, 269
4, 133.59, 295, 269
5, 126.395, 295, 269
6, 138.08, 295, 269
7, 153.47, 295, 269
8, 170.265, 295, 269
9, 145.565, 295, 269
10, 154.725, 295, 269
11, 163.56, 295, 269
12, 159.01, 295, 269
13, 132.125, 295, 269
14, 132.795, 295, 269
15, 135.435, 295, 269
16, 158.255, 295, 269
17, 143.475, 295, 269
18, 168.385, 295, 269
19, 170.715, 295, 269
20, 184.07, 295, 269
21, 174.925, 295, 269
22, 171.945, 295, 269
23, 175.205, 295, 269
24, 194.13, 295, 269
25, 179.38, 295, 269
26, 196.475, 295, 269
27, 192.3, 295, 269
28, 185.685, 295, 269
29, 191.885, 295, 269
30, 213.64, 295, 269
31, 213.5, 295, 269
32, 219.045, 295, 269
33, 225.93, 295, 269
34, 228.645, 295, 269
35, 230.23, 295, 269
36, 236.37, 295, 269
37, 246.47, 295, 269
38, 230.655, 295, 269
39, 219.32, 295, 269
40, 229.655, 295, 269
41, 229.4, 295, 269
42, 234.89, 295, 269
43, 239.53, 295, 269
44, 243.915, 295, 269
45, 246.845, 295, 269
46, 252.68, 295, 269
47, 255.38, 295, 269
48, 249.805, 295, 269
49, 261.29, 295, 269
50, 243.545, 295, 269
51, 262.41, 295, 269
52, 236.365, 295, 269
53, 238.86, 295, 269
54, 208.525, 295, 269
55, 197.635, 295, 269
56, 238.555, 295, 269
57, 220.64, 295, 269
58, 228.94, 295, 269
59, 189.31, 295, 269
60, 179.22, 295, 269
61, 172.075, 295, 269
62, 181.54, 295, 269
63, 180.8, 295, 269
64, 188.465, 295, 269
65, 192.025, 295, 269
66, 177.82, 295, 269
67, 190.975, 295, 269
68, 179.69, 295, 269
69, 178.335, 295, 269
70, 171.425, 295, 269
71, 188.0, 295, 269
72, 163.865, 295, 269
73, 166.37, 295, 269
74, 178.385, 295, 269
75, 175.125, 295, 269
76, 178.785, 295, 269
77, 194.33, 295, 269
78, 168.63, 295, 269
79, 186.995, 295, 269
80, 188.295, 295, 269
81, 189.955, 295, 269
82, 167.5, 295, 269
83, 162.04, 295, 269
84, 177.05, 295, 269
85, 170.235, 295, 269
86, 176.65, 295, 269
87, 188.115, 295, 269
88, 179.97, 295, 269
89, 183.065, 295, 269
90, 200.49, 295, 269
91, 201.565, 295, 269
92, 214.605, 295, 269
93, 207.57, 295, 269
94, 209.97, 295, 269
95, 217.535, 295, 269
96, 227.53, 295, 269
97, 199.35, 295, 269
98, 181.41, 295, 269
99, 182.325, 295, 269
