id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 0.0, 0, 0
11, 0.0, 0, 0
12, 0.0, 0, 0
13, 0.0, 0, 0
14, 0.0, 0, 0
15, 0.0, 0, 0
16, 0.0, 0, 0
17, 0.0, 0, 0
18, 0.0, 0, 0
19, 0.0, 0, 0
20, 0.0, 0, 0
21, 0.0, 0, 0
22, 0.0, 0, 0
23, 3.972, 1039, 739
24, 10.28, 1318, 918
25, 13.95, 1359, 959
26, 29.2, 1273, 973
27, 35.348, 1375, 975
28, 48.198, 1409, 909
29, 73.91, 1507, 907
30, 116.824, 1561, 961
31, 68.498, 1697, 997
32, 116.37, 1656, 956
33, 138.276, 1633, 833
34, 166.424, 1608, 908
35, 152.198, 1672, 972
36, 184.062, 1788, 988
37, 213.946, 1790, 990
38, 304.77, 1788, 988
39, 193.368, 1781, 981
40, 251.166, 1768, 968
41, 237.77, 1893, 993
42, 283.518, 1790, 990
43, 333.29, 1871, 971
44, 407.31, 1893, 993
45, 372.83, 1893, 993
46, 430.074, 1893, 993
47, 373.416, 1997, 997
48, 320.83, 1986, 986
49, 296.39, 1991, 991
50, 352.754, 1996, 996
51, 371.742, 1958, 958
52, 363.082, 1997, 997
53, 452.29, 1997, 997
54, 285.066, 1997, 997
55, 280.85, 2013, 913
56, 466.606, 2013, 913
57, 489.968, 2064, 964
58, 604.094, 2064, 964
59, 476.386, 2061, 961
60, 475.288, 2088, 988
61, 612.072, 2088, 988
62, 701.684, 2088, 988
63, 700.872, 2160, 960
64, 792.068, 2197, 997
65, 846.758, 2197, 997
66, 812.33, 2197, 997
67, 878.238, 2197, 997
68, 1000.72, 2197, 997
69, 1043.458, 2197, 997
70, 1046.568, 2197, 997
71, 895.958, 2197, 997
72, 989.6, 2197, 997
73, 863.838, 2197, 997
74, 868.286, 2197, 997
75, 553.224, 2197, 997
76, 263.268, 2197, 997
77, 264.52, 2197, 997
78, 316.792, 2197, 997
79, 431.744, 2197, 997
80, 498.894, 2197, 997
81, 426.71, 2197, 997
82, 467.398, 2197, 997
83, 371.882, 2197, 997
84, 300.512, 2197, 997
85, 350.34, 2197, 997
86, 394.834, 2197, 997
87, 346.42, 2197, 997
88, 299.352, 2197, 997
89, 217.504, 2197, 997
90, 401.522, 2197, 997
91, 416.612, 2197, 997
92, 369.334, 2197, 997
93, 504.602, 2197, 997
94, 630.626, 2197, 997
95, 764.81, 2197, 997
96, 705.224, 2197, 997
97, 852.396, 2197, 997
98, 960.814, 2197, 997
99, 993.288, 2197, 997
100, 1130.732, 2197, 997
101, 931.918, 2197, 997
102, 1020.396, 2197, 997
103, 911.006, 2197, 997
104, 1008.792, 2197, 997
105, 1132.544, 2197, 997
106, 1252.832, 2197, 997
107, 1367.784, 2197, 997
108, 1415.646, 2197, 997
109, 1386.474, 2197, 997
110, 1409.2, 2197, 997
111, 1533.444, 2197, 997
112, 1651.928, 2197, 997
113, 1572.002, 2197, 997
114, 1292.582, 2197, 997
115, 1305.704, 2197, 997
116, 1469.136, 2197, 997
117, 380.478, 2197, 997
118, 450.244, 2197, 997
119, 456.514, 2197, 997
120, 561.018, 2197, 997
121, 536.608, 2197, 997
122, 602.544, 2197, 997
123, 354.194, 2197, 997
124, 576.176, 2197, 997
125, 582.514, 2197, 997
126, 656.924, 2197, 997
127, 767.454, 2197, 997
128, 585.53, 2197, 997
129, 477.52, 2197, 997
130, 544.982, 2197, 997
131, 279.276, 2197, 997
132, 358.756, 2197, 997
133, 310.422, 2197, 997
134, 201.26, 2197, 997
135, 187.734, 2197, 997
136, 266.394, 2197, 997
137, 271.19, 2197, 997
138, 236.844, 2197, 997
139, 337.562, 2197, 997
140, 380.984, 2197, 997
141, 421.048, 2197, 997
142, 447.024, 2197, 997
143, 631.96, 2197, 997
144, 697.87, 2197, 997
145, 289.96, 2197, 997
146, 329.162, 2197, 997
147, 320.762, 2197, 997
148, 316.368, 2197, 997
149, 452.582, 2197, 997
150, 478.558, 2197, 997
151, 451.344, 2197, 997
152, 570.832, 2197, 997
153, 632.348, 2197, 997
154, 676.288, 2197, 997
155, 601.59, 2197, 997
156, 606.372, 2197, 997
157, 377.496, 2197, 997
158, 391.066, 2197, 997
159, 483.34, 2197, 997
160, 588.402, 2197, 997
161, 694.252, 2197, 997
162, 605.984, 2197, 997
163, 377.884, 2197, 997
164, 369.096, 2197, 997
165, 364.702, 2197, 997
166, 430.612, 2197, 997
167, 430.612, 2197, 997
168, 448.188, 2197, 997
169, 461.37, 2197, 997
170, 641.524, 2197, 997
171, 364.702, 2197, 997
172, 250.458, 2197, 997
173, 329.55, 2197, 997
174, 224.094, 2197, 997
175, 92.274, 2197, 997
176, 166.972, 2197, 997
177, 215.306, 2197, 997
178, 171.366, 2197, 997
179, 232.882, 2197, 997
180, 329.55, 2197, 997
181, 316.368, 2197, 997
182, 272.428, 2197, 997
183, 355.914, 2197, 997
184, 474.552, 2197, 997
185, 500.454, 2197, 997
186, 606.158, 2197, 997
187, 663.28, 2197, 997
188, 588.156, 2197, 997
189, 679.172, 2197, 997
190, 703.04, 2197, 997
191, 851.582, 2197, 997
192, 600.508, 2197, 997
193, 729.04, 2197, 997
194, 566.826, 2197, 997
195, 632.134, 2197, 997
196, 426.218, 2197, 997
197, 544.642, 2197, 997
198, 311.974, 2197, 997
199, 417.43, 2197, 997
200, 263.48, 2197, 997
201, 307.09, 2197, 997
202, 350.742, 2197, 997
203, 404.248, 2197, 997
204, 311.974, 2197, 997
205, 386.458, 2197, 997
206, 303.186, 2197, 997
207, 263.64, 2197, 997
208, 342.732, 2197, 997
209, 355.914, 2197, 997
210, 623.948, 2197, 997
211, 606.372, 2197, 997
212, 703.04, 2197, 997
213, 711.828, 2197, 997
214, 918.346, 2197, 997
215, 887.588, 2197, 997
216, 667.888, 2197, 997
217, 707.434, 2197, 997
218, 667.888, 2197, 997
219, 900.77, 2197, 997
220, 395.46, 2197, 997
221, 320.762, 2197, 997
222, 210.912, 2197, 997
223, 298.792, 2197, 997
224, 237.276, 2197, 997
225, 259.246, 2197, 997
226, 151.65, 2197, 997
227, 112.318, 2197, 997
228, 203.522, 2197, 997
229, 230.956, 2197, 997
230, 283.256, 2197, 997
231, 226.134, 2197, 997
232, 295.796, 2197, 997
233, 349.38, 2197, 997
234, 362.99, 2197, 997
235, 358.596, 2197, 997
236, 320.12, 2197, 997
237, 428.472, 2197, 997
238, 502.086, 2197, 997
239, 547.802, 2197, 997
240, 695.74, 2197, 997
241, 799.314, 2197, 997
242, 850.624, 2197, 997
243, 902.948, 2197, 997
244, 971.798, 2197, 997
245, 1047.786, 2197, 997
246, 713.994, 2197, 997
247, 743.428, 2197, 997
248, 904.346, 2197, 997
249, 969.22, 2197, 997
250, 1017.902, 2197, 997
251, 977.642, 2197, 997
252, 624.596, 2197, 997
253, 697.054, 2197, 997
254, 877.428, 2197, 997
255, 868.032, 2197, 997
256, 759.258, 2197, 997
257, 875.554, 2197, 997
258, 901.846, 2197, 997
259, 987.73, 2197, 997
260, 1072.262, 2197, 997
261, 1167.252, 2197, 997
262, 1310.702, 2197, 997
263, 1322.68, 2197, 997
264, 1338.016, 2197, 997
265, 1249.534, 2197, 997
266, 1298.2, 2197, 997
267, 1377.776, 2197, 997
268, 1562.712, 2197, 997
269, 1580.462, 2197, 997
270, 1587.31, 2197, 997
271, 1636.246, 2197, 997
272, 1062.184, 2197, 997
273, 1049.176, 2197, 997
274, 681.07, 2197, 997
275, 588.582, 2197, 997
276, 729.016, 2197, 997
277, 877.81, 2197, 997
278, 667.888, 2197, 997
279, 738.192, 2197, 997
280, 848.042, 2197, 997
281, 829.948, 2197, 997
282, 936.93, 2197, 997
283, 1052.948, 2197, 997
284, 1176.904, 2197, 997
285, 1194.802, 2197, 997
286, 1351.278, 2197, 997
287, 1396.752, 2197, 997
288, 1073.296, 2197, 997
289, 1244.662, 2197, 997
290, 1326.3, 2197, 997
291, 1358.444, 2197, 997
292, 1198.176, 2197, 997
293, 1359.83, 2197, 997
294, 1313.344, 2197, 997
295, 1448.172, 2197, 997
296, 1527.338, 2197, 997
297, 1177.13, 2197, 997
298, 1334.39, 2197, 997
299, 821.216, 2197, 997
300, 996.976, 2197, 997
301, 1027.272, 2197, 997
