id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 0.0, 0, 0
11, 0.0, 0, 0
12, 0.0, 0, 0
13, 0.0, 0, 0
14, 0.0, 0, 0
15, 0.0, 0, 0
16, 0.0, 0, 0
17, 0.0, 0, 0
18, 0.0, 0, 0
19, 0.0, 0, 0
20, 0.0, 0, 0
21, 0.0, 0, 0
22, 0.0, 0, 0
23, 2.712, 1356, 956
24, 4.142, 1197, 997
25, 12.702, 1320, 820
26, 24.624, 1459, 959
27, 32.748, 1481, 981
28, 20.718, 1338, 938
29, 54.112, 1517, 917
30, 42.492, 1479, 979
31, 65.408, 1538, 938
32, 110.228, 1577, 877
33, 174.906, 1648, 948
34, 202.608, 1727, 927
35, 237.554, 1756, 956
36, 227.408, 1796, 996
37, 289.486, 1795, 995
38, 282.54, 1750, 950
39, 291.216, 1871, 971
40, 327.414, 1817, 917
41, 392.978, 1842, 942
42, 234.364, 1888, 988
43, 298.734, 1892, 992
44, 316.688, 1917, 917
45, 393.574, 1949, 949
46, 474.17, 1991, 991
47, 207.322, 1990, 990
48, 263.798, 1993, 993
49, 276.906, 1991, 991
50, 159.898, 1993, 993
51, 191.862, 1993, 993
52, 208.374, 1993, 993
53, 315.268, 1996, 996
54, 210.67, 1991, 991
55, 288.886, 1996, 996
56, 232.964, 2079, 979
57, 315.972, 2079, 979
58, 160.562, 2079, 979
59, 112.434, 2079, 979
60, 180.702, 2079, 979
61, 164.096, 2083, 983
62, 225.656, 2083, 983
63, 287.732, 2196, 996
64, 320.6, 2196, 996
65, 447.57, 2196, 996
66, 428.684, 2196, 996
67, 509.92, 2196, 996
68, 467.236, 2196, 996
69, 440.13, 2196, 996
70, 434.26, 2196, 996
71, 547.904, 2196, 996
72, 364.662, 2196, 996
73, 519.046, 2196, 996
74, 572.57, 2196, 996
75, 646.778, 2196, 996
76, 765.122, 2196, 996
77, 794.096, 2196, 996
78, 565.374, 2196, 996
79, 682.662, 2289, 989
80, 624.38, 2289, 989
81, 667.942, 2289, 989
82, 674.214, 2289, 989
83, 757.17, 2289, 989
84, 820.99, 2289, 989
85, 604.486, 2289, 989
86, 875.298, 2289, 989
87, 904.41, 2289, 989
88, 959.212, 2289, 989
89, 1007.052, 2289, 989
90, 1104.708, 2289, 989
91, 1274.21, 2289, 989
92, 1024.89, 2289, 989
93, 734.872, 2289, 989
94, 756.808, 2289, 989
95, 604.21, 2289, 989
96, 726.928, 2289, 989
97, 499.444, 2289, 989
98, 700.78, 2289, 989
99, 703.664, 2289, 989
100, 710.696, 2289, 989
101, 817.86, 2289, 989
102, 949.19, 2289, 989
103, 679.062, 2289, 989
104, 528.906, 2289, 989
105, 580.704, 2289, 989
106, 713.396, 2289, 989
107, 850.252, 2289, 989
108, 506.378, 2289, 989
109, 631.088, 2289, 989
110, 612.03, 2289, 989
111, 882.902, 2289, 989
112, 808.662, 2289, 989
113, 897.368, 2289, 989
114, 971.694, 2289, 989
115, 1027.44, 2289, 989
116, 1109.916, 2289, 989
117, 767.202, 2289, 989
118, 893.36, 2289, 989
119, 606.868, 2289, 989
120, 400.776, 2289, 989
121, 487.036, 2289, 989
122, 542.482, 2289, 989
123, 679.546, 2289, 989
124, 660.966, 2289, 989
125, 621.684, 2289, 989
126, 696.824, 2289, 989
127, 693.974, 2289, 989
128, 891.546, 2289, 989
129, 575.086, 2289, 989
130, 699.476, 2289, 989
131, 716.428, 2289, 989
132, 827.168, 2289, 989
133, 881.63, 2289, 989
134, 970.148, 2289, 989
135, 1029.274, 2289, 989
136, 1077.698, 2289, 989
137, 1220.774, 2289, 989
138, 1270.4, 2289, 989
139, 681.734, 2289, 989
140, 801.15, 2289, 989
141, 736.254, 2289, 989
142, 814.108, 2289, 989
143, 864.232, 2289, 989
144, 938.49, 2289, 989
145, 1015.928, 2289, 989
146, 746.214, 2289, 989
147, 841.964, 2289, 989
148, 882.778, 2289, 989
149, 869.432, 2289, 989
150, 626.066, 2289, 989
151, 485.268, 2289, 989
152, 389.13, 2289, 989
153, 448.644, 2289, 989
154, 531.048, 2289, 989
155, 503.58, 2289, 989
156, 613.452, 2289, 989
157, 700.434, 2289, 989
158, 526.082, 2289, 989
159, 668.0, 2289, 989
160, 595.14, 2289, 989
161, 727.902, 2289, 989
162, 709.59, 2289, 989
163, 608.874, 2289, 989
164, 723.324, 2289, 989
165, 375.396, 2289, 989
166, 439.488, 2289, 989
167, 471.534, 2289, 989
168, 453.222, 2289, 989
169, 480.69, 2289, 989
170, 480.69, 2289, 989
171, 727.902, 2289, 989
172, 425.754, 2289, 989
173, 512.736, 2289, 989
174, 695.856, 2289, 989
175, 539.816, 2289, 989
176, 572.25, 2289, 989
177, 718.746, 2289, 989
178, 540.204, 2289, 989
179, 558.516, 2289, 989
180, 425.754, 2289, 989
181, 503.58, 2289, 989
182, 439.488, 2289, 989
183, 274.68, 2289, 989
184, 247.212, 2289, 989
185, 389.13, 2289, 989
186, 279.258, 2289, 989
187, 320.46, 2289, 989
188, 430.332, 2289, 989
189, 613.452, 2289, 989
190, 640.92, 2289, 989
191, 357.084, 2289, 989
192, 361.662, 2289, 989
193, 384.552, 2289, 989
194, 320.46, 2289, 989
195, 439.488, 2289, 989
196, 430.332, 2289, 989
197, 238.056, 2289, 989
198, 357.084, 2289, 989
199, 430.332, 2289, 989
200, 466.956, 2289, 989
201, 686.7, 2289, 989
202, 462.378, 2289, 989
203, 595.14, 2289, 989
204, 526.47, 2289, 989
205, 489.846, 2289, 989
206, 581.406, 2289, 989
207, 714.168, 2289, 989
208, 769.104, 2289, 989
209, 805.728, 2289, 989
210, 979.692, 2289, 989
211, 1075.83, 2289, 989
212, 1149.078, 2289, 989
213, 1171.968, 2289, 989
214, 1391.712, 2289, 989
215, 1460.382, 2289, 989
216, 1382.556, 2289, 989
217, 1400.868, 2289, 989
218, 1030.05, 2289, 989
219, 1176.546, 2289, 989
220, 1190.28, 2289, 989
221, 1332.198, 2289, 989
222, 1432.914, 2289, 989
223, 1171.968, 2289, 989
224, 1277.262, 2289, 989
225, 975.114, 2289, 989
226, 993.426, 2289, 989
227, 1121.61, 2289, 989
228, 1281.84, 2289, 989
229, 1345.932, 2289, 989
230, 1171.968, 2289, 989
231, 1309.308, 2289, 989
232, 1382.556, 2289, 989
233, 1167.39, 2289, 989
234, 1309.308, 2289, 989
235, 1336.776, 2289, 989
236, 1464.96, 2289, 989
237, 1478.694, 2289, 989
238, 1236.06, 2289, 989
239, 1011.738, 2289, 989
240, 1112.454, 2289, 989
241, 1194.858, 2289, 989
242, 1268.106, 2289, 989
243, 1254.372, 2289, 989
244, 778.26, 2289, 989
245, 833.196, 2289, 989
246, 631.764, 2289, 989
247, 503.58, 2289, 989
248, 682.122, 2289, 989
249, 352.506, 2289, 989
250, 526.47, 2289, 989
251, 652.404, 2289, 989
252, 652.504, 2385, 985
253, 755.528, 2385, 985
254, 681.598, 2385, 985
255, 721.732, 2385, 985
256, 598.846, 2385, 985
257, 518.124, 2385, 985
258, 410.302, 2385, 985
259, 430.652, 2385, 985
260, 491.02, 2385, 985
261, 491.43, 2385, 985
262, 625.292, 2385, 985
263, 641.986, 2385, 985
264, 816.028, 2385, 985
265, 891.608, 2385, 985
266, 903.944, 2385, 985
267, 1027.024, 2385, 985
268, 1078.55, 2385, 985
269, 789.318, 2385, 985
270, 520.29, 2385, 985
271, 608.416, 2385, 985
272, 664.578, 2385, 985
273, 837.278, 2385, 985
274, 853.976, 2385, 985
275, 713.374, 2385, 985
276, 818.894, 2385, 985
277, 860.436, 2385, 985
278, 926.202, 2385, 985
279, 569.534, 2385, 985
280, 742.344, 2385, 985
281, 724.538, 2385, 985
282, 837.576, 2385, 985
283, 906.446, 2385, 985
284, 538.584, 2385, 985
285, 491.522, 2385, 985
286, 582.218, 2385, 985
287, 711.072, 2385, 985
288, 488.294, 2385, 985
289, 631.982, 2385, 985
290, 658.568, 2385, 985
291, 688.646, 2385, 985
292, 364.958, 2385, 985
293, 404.03, 2385, 985
294, 323.272, 2385, 985
295, 305.032, 2385, 985
296, 390.796, 2385, 985
297, 474.904, 2385, 985
298, 585.408, 2385, 985
299, 675.92, 2385, 985
300, 688.794, 2385, 985
301, 521.6, 2385, 985
302, 575.758, 2385, 985
