id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 0.0, 0, 0
11, 0.0, 0, 0
12, 0.0, 0, 0
13, 0.0, 0, 0
14, 0.0, 0, 0
15, 0.0, 0, 0
16, 5.336, 1436, 836
17, 10.416, 1203, 803
18, 13.83, 1277, 977
19, 25.09, 1413, 913
20, 41.76, 1586, 886
21, 62.008, 1694, 994
22, 80.858, 1592, 992
23, 104.798, 1588, 888
24, 108.846, 1664, 964
25, 164.328, 1788, 988
26, 186.052, 1752, 952
27, 82.14, 1659, 959
28, 128.97, 1788, 988
29, 184.464, 1846, 946
30, 254.566, 1895, 995
31, 292.2, 1859, 959
32, 247.106, 1895, 995
33, 280.2, 1895, 995
34, 271.442, 1895, 995
35, 269.458, 1895, 995
36, 379.368, 1989, 989
37, 456.836, 1989, 989
38, 455.45, 1989, 989
39, 562.768, 2053, 953
40, 564.138, 2082, 982
41, 660.608, 2091, 991
42, 685.47, 2091, 991
43, 752.912, 2091, 991
44, 730.522, 2180, 980
45, 728.226, 2180, 980
46, 794.292, 2180, 980
47, 873.944, 2180, 980
48, 845.212, 2180, 980
49, 811.85, 2195, 995
50, 843.8, 2180, 980
51, 578.216, 2195, 995
52, 730.426, 2195, 995
53, 312.438, 2195, 995
54, 435.438, 2195, 995
55, 586.596, 2195, 995
56, 628.38, 2195, 995
57, 729.374, 2195, 995
58, 553.202, 2195, 995
59, 643.504, 2195, 995
60, 668.718, 2195, 995
61, 807.414, 2195, 995
62, 833.706, 2195, 995
63, 898.268, 2195, 995
64, 1024.262, 2195, 995
65, 1159.028, 2195, 995
66, 1130.518, 2195, 995
67, 1160.814, 2195, 995
68, 1349.952, 2195, 995
69, 1317.578, 2195, 995
70, 1451.434, 2195, 995
71, 1554.812, 2195, 995
72, 1592.706, 2195, 995
73, 1637.262, 2195, 995
74, 1668.004, 2195, 995
75, 1715.73, 2195, 995
76, 1781.082, 2195, 995
77, 1822.358, 2195, 995
78, 1817.958, 2195, 995
79, 1843.328, 2195, 995
80, 1900.192, 2195, 995
81, 1987.876, 2195, 995
82, 1925.72, 2195, 995
83, 1101.022, 2195, 995
84, 1227.362, 2195, 995
85, 1131.574, 2195, 995
86, 1118.986, 2195, 995
87, 1215.16, 2195, 995
88, 1313.996, 2195, 995
89, 1047.278, 2195, 995
90, 1100.806, 2195, 995
91, 1201.662, 2195, 995
92, 1307.552, 2195, 995
93, 1257.436, 2195, 995
94, 1468.502, 2195, 995
95, 1451.198, 2195, 995
96, 1545.724, 2195, 995
97, 1599.73, 2195, 995
98, 1587.192, 2195, 995
99, 1354.26, 2195, 995
100, 1446.104, 2195, 995
101, 1409.864, 2195, 995
102, 1433.986, 2195, 995
103, 1578.284, 2195, 995
104, 1676.122, 2195, 995
105, 1736.738, 2195, 995
106, 1385.908, 2195, 995
107, 1499.526, 2195, 995
108, 1544.314, 2195, 995
109, 1711.57, 2195, 995
110, 1698.124, 2195, 995
111, 1273.1, 2195, 995
112, 1399.966, 2195, 995
113, 1500.62, 2195, 995
114, 1017.106, 2195, 995
115, 868.308, 2195, 995
116, 1044.358, 2195, 995
117, 583.87, 2195, 995
118, 750.69, 2195, 995
119, 829.71, 2195, 995
120, 838.49, 2195, 995
121, 943.388, 2195, 995
122, 952.63, 2195, 995
123, 1079.94, 2195, 995
124, 1202.86, 2195, 995
125, 1343.34, 2195, 995
126, 1022.87, 2195, 995
127, 1163.35, 2195, 995
128, 456.56, 2195, 995
129, 518.02, 2195, 995
130, 614.6, 2195, 995
131, 728.74, 2195, 995
132, 548.75, 2195, 995
133, 496.07, 2195, 995
134, 601.43, 2195, 995
135, 715.57, 2195, 995
136, 746.3, 2195, 995
137, 666.708, 2195, 995
138, 763.498, 2195, 995
139, 777.03, 2195, 995
140, 935.07, 2195, 995
141, 1062.38, 2195, 995
142, 1150.18, 2195, 995
143, 1189.69, 2195, 995
144, 1242.37, 2195, 995
145, 917.51, 2195, 995
146, 1009.7, 2195, 995
147, 798.98, 2195, 995
148, 834.1, 2195, 995
149, 772.64, 2195, 995
150, 856.05, 2195, 995
151, 921.9, 2195, 995
152, 719.96, 2195, 995
153, 812.15, 2195, 995
154, 926.29, 2195, 995
155, 1000.92, 2195, 995
156, 1246.76, 2195, 995
157, 1167.74, 2195, 995
158, 1246.76, 2195, 995
159, 1369.68, 2195, 995
160, 1514.55, 2195, 995
161, 1484.078, 2195, 995
162, 1545.956, 2195, 995
163, 1600.25, 2195, 995
164, 1584.868, 2195, 995
165, 1676.742, 2195, 995
166, 1738.202, 2195, 995
167, 1700.938, 2195, 995
168, 1790.002, 2195, 995
169, 1575.84, 2195, 995
170, 1246.974, 2195, 995
171, 798.28, 2195, 995
172, 957.584, 2195, 995
173, 1036.288, 2195, 995
174, 1086.158, 2195, 995
175, 1178.348, 2195, 995
176, 1203.74, 2195, 995
177, 1419.482, 2195, 995
178, 1345.484, 2195, 995
179, 1434.864, 2195, 995
180, 1478.132, 2195, 995
181, 1519.222, 2195, 995
182, 1582.544, 2195, 995
183, 1585.072, 2195, 995
184, 1678.842, 2195, 995
185, 1041.976, 2195, 995
186, 1116.606, 2195, 995
187, 1205.67, 2195, 995
188, 955.124, 2195, 995
189, 1052.336, 2195, 995
190, 1139.504, 2195, 995
191, 1246.128, 2195, 995
192, 1298.492, 2195, 995
193, 1395.388, 2195, 995
194, 1483.82, 2195, 995
195, 1538.994, 2195, 995
196, 1263.056, 2195, 995
197, 1368.732, 2195, 995
198, 1347.098, 2195, 995
199, 1487.578, 2195, 995
200, 1465.628, 2195, 995
201, 1574.746, 2195, 995
202, 1746.588, 2195, 995
203, 1742.514, 2195, 995
204, 1804.29, 2195, 995
205, 1720.248, 2195, 995
206, 1813.07, 2195, 995
207, 1839.41, 2195, 995
208, 1940.064, 2195, 995
209, 1897.046, 2195, 995
210, 1968.886, 2195, 995
211, 2012.684, 2195, 995
212, 2012.034, 2195, 995
213, 1193.34, 2195, 995
214, 1256.512, 2195, 995
215, 1385.962, 2195, 995
216, 1435.86, 2195, 995
217, 1219.142, 2195, 995
218, 1369.9, 2195, 995
219, 1405.876, 2195, 995
220, 923.08, 2195, 995
221, 1065.81, 2195, 995
222, 1031.332, 2195, 995
223, 1207.9, 2195, 995
224, 1303.298, 2195, 995
225, 1115.598, 2195, 995
226, 1170.418, 2195, 995
227, 955.094, 2195, 995
228, 787.846, 2195, 995
229, 810.652, 2195, 995
230, 924.578, 2195, 995
231, 727.14, 2195, 995
232, 881.534, 2195, 995
233, 941.608, 2195, 995
234, 780.35, 2195, 995
235, 824.25, 2195, 995
236, 877.144, 2195, 995
237, 908.302, 2195, 995
238, 956.378, 2195, 995
239, 1052.744, 2195, 995
240, 842.452, 2195, 995
241, 935.07, 2195, 995
242, 965.586, 2195, 995
243, 978.938, 2195, 995
244, 1062.0, 2195, 995
245, 715.242, 2195, 995
246, 890.546, 2195, 995
247, 933.198, 2195, 995
248, 990.308, 2195, 995
249, 883.278, 2195, 995
250, 693.864, 2195, 995
251, 815.968, 2195, 995
252, 861.008, 2195, 995
253, 886.658, 2195, 995
254, 1080.098, 2195, 995
255, 732.944, 2195, 995
256, 854.802, 2195, 995
257, 912.544, 2195, 995
258, 971.5, 2195, 995
259, 784.798, 2195, 995
260, 820.936, 2195, 995
261, 929.366, 2195, 995
262, 751.764, 2195, 995
263, 796.554, 2195, 995
264, 840.622, 2195, 995
265, 958.85, 2195, 995
266, 1075.654, 2195, 995
267, 1153.468, 2195, 995
268, 1129.79, 2195, 995
269, 1201.252, 2195, 995
270, 1365.65, 2195, 995
271, 1381.236, 2195, 995
272, 1394.424, 2195, 995
273, 1494.098, 2195, 995
274, 1055.116, 2195, 995
275, 1153.512, 2195, 995
276, 1250.268, 2195, 995
277, 880.382, 2195, 995
278, 1067.458, 2195, 995
279, 1132.56, 2195, 995
280, 1233.548, 2195, 995
281, 1251.818, 2195, 995
282, 896.876, 2195, 995
283, 986.914, 2195, 995
284, 1109.966, 2195, 995
285, 1110.556, 2195, 995
286, 1219.236, 2195, 995
287, 1382.592, 2195, 995
288, 1446.286, 2195, 995
289, 1353.282, 2195, 995
290, 1503.848, 2195, 995
291, 1527.31, 2195, 995
292, 1669.208, 2195, 995
293, 1635.056, 2195, 995
