id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 4.456, 2228, 860
10, 25.292, 3591, 990
11, 28.31, 3807, 767
12, 96.052, 3597, 789
13, 84.262, 4701, 979
14, 134.788, 5168, 635
15, 301.588, 5340, 995
16, 359.81, 5159, 851
17, 515.214, 5707, 963
18, 729.546, 5798, 900
19, 1003.544, 6695, 976
20, 927.326, 6194, 785
21, 1142.618, 7032, 992
22, 1629.054, 7032, 992
23, 1700.244, 7032, 992
24, 1571.682, 7032, 992
25, 1982.482, 7431, 979
26, 2119.444, 7586, 901
27, 2442.05, 7618, 886
28, 2647.606, 7618, 886
29, 2947.524, 7618, 886
30, 3353.826, 7698, 965
31, 3417.116, 7759, 937
32, 3685.41, 8216, 980
33, 4118.164, 8216, 980
34, 3982.718, 8373, 971
35, 4352.996, 8373, 971
36, 4359.466, 8373, 971
37, 4125.88, 8373, 971
38, 4582.046, 8373, 971
39, 4777.782, 8373, 971
40, 4770.932, 8373, 971
41, 4756.718, 8373, 971
42, 4947.62, 8373, 971
43, 5437.708, 8373, 971
44, 5588.778, 8373, 971
45, 5593.522, 8373, 971
46, 5726.158, 8373, 971
47, 6170.316, 8373, 971
48, 5047.944, 8373, 971
49, 5155.762, 8373, 971
50, 3885.188, 8373, 971
51, 4119.166, 8373, 971
52, 4433.6, 8373, 971
53, 4913.326, 8373, 971
54, 4843.614, 8373, 971
55, 5094.446, 8373, 971
56, 5328.254, 8373, 971
57, 5743.588, 8373, 971
58, 6073.302, 8373, 971
59, 6148.97, 8373, 971
60, 6446.832, 8373, 971
61, 6797.77, 8373, 971
62, 6877.778, 8373, 971
63, 7266.38, 8373, 971
64, 7252.232, 8373, 971
65, 6699.888, 8373, 971
66, 6927.496, 8373, 971
67, 7326.474, 8373, 971
68, 7310.266, 8373, 971
69, 7171.402, 8373, 971
70, 7500.534, 8373, 971
71, 7418.856, 8373, 971
72, 7741.074, 8373, 971
73, 7498.758, 8373, 971
74, 7700.474, 8373, 971
75, 7799.27, 8373, 971
76, 7830.492, 8373, 971
77, 7770.448, 8373, 971
78, 8089.928, 8373, 971
79, 5768.922, 8373, 971
80, 6036.196, 8373, 971
81, 6236.208, 8373, 971
82, 6371.358, 8373, 971
83, 6717.636, 8373, 971
84, 6638.48, 8373, 971
85, 7042.566, 8373, 971
86, 7079.198, 8373, 971
87, 7108.338, 8373, 971
88, 7182.582, 8373, 971
89, 7375.996, 8373, 971
90, 7601.77, 8373, 971
91, 7746.892, 8373, 971
92, 7832.396, 8373, 971
93, 7816.174, 8373, 971
94, 7920.858, 8373, 971
95, 7853.874, 8373, 971
96, 7954.35, 8373, 971
97, 7888.576, 8373, 971
98, 7838.788, 8373, 971
99, 7973.256, 8373, 971
100, 8118.606, 8373, 971
101, 8098.016, 8373, 971
102, 7751.118, 8373, 971
103, 7840.406, 8373, 971
104, 7795.524, 8373, 971
105, 7767.918, 8373, 971
106, 7798.612, 8373, 971
107, 7812.866, 8373, 971
108, 8010.012, 8373, 971
109, 8063.652, 8373, 971
110, 7965.836, 8373, 971
111, 6343.816, 8373, 971
112, 6673.604, 8373, 971
113, 7106.806, 8373, 971
114, 7280.854, 8373, 971
115, 6921.518, 8373, 971
116, 7278.932, 8373, 971
117, 7202.46, 8373, 971
118, 7364.78, 8373, 971
119, 7542.302, 8373, 971
120, 7625.504, 8373, 971
121, 7754.136, 8373, 971
122, 7867.16, 8373, 971
123, 7884.908, 8373, 971
124, 7900.11, 8373, 971
125, 6423.794, 8373, 971
126, 6589.724, 8373, 971
127, 6892.682, 8373, 971
128, 6843.778, 8373, 971
129, 7227.602, 8373, 971
130, 7348.826, 8373, 971
131, 7547.11, 8373, 971
132, 7383.652, 8373, 971
133, 7598.682, 8373, 971
134, 7616.762, 8373, 971
135, 7919.524, 8373, 971
136, 7784.222, 8373, 971
137, 7936.27, 8373, 971
138, 7795.632, 8373, 971
139, 7762.14, 8373, 971
140, 8032.548, 8373, 971
141, 8017.332, 8373, 971
142, 8081.648, 8373, 971
143, 8186.012, 8373, 971
144, 8133.22, 8373, 971
145, 5672.892, 8373, 971
146, 5743.486, 8373, 971
147, 6263.004, 8373, 971
148, 6444.542, 8373, 971
149, 6628.748, 8373, 971
150, 7048.732, 8373, 971
151, 6782.13, 8373, 971
152, 4822.848, 8373, 971
153, 4721.038, 8373, 971
154, 5057.292, 8373, 971
155, 5106.0, 8373, 971
156, 5894.592, 8373, 971
157, 5911.338, 8373, 971
158, 6194.686, 8373, 971
159, 6296.496, 8373, 971
160, 6462.622, 8373, 971
161, 6882.606, 8373, 971
162, 6882.606, 8373, 971
163, 6981.748, 8373, 971
164, 7165.954, 8373, 971
165, 7182.7, 8373, 971
166, 5609.91, 8373, 971
167, 5876.512, 8373, 971
168, 5676.894, 8373, 971
169, 6363.48, 8373, 971
170, 6530.94, 8373, 971
171, 6648.162, 8373, 971
172, 6831.034, 8373, 971
173, 6712.316, 8373, 971
174, 7140.5, 8373, 971
175, 7333.84, 8373, 971
176, 6776.924, 8373, 971
177, 6915.09, 8373, 971
178, 7371.61, 8373, 971
179, 7514.726, 8373, 971
180, 5840.73, 8373, 971
181, 4789.438, 8373, 971
182, 5118.258, 8373, 971
183, 5325.344, 8373, 971
184, 5683.224, 8373, 971
185, 5799.742, 8373, 971
186, 6106.674, 8373, 971
187, 5884.524, 8373, 971
188, 6230.512, 8373, 971
189, 6589.418, 8373, 971
190, 6961.014, 8373, 971
191, 6822.702, 8373, 971
192, 7007.076, 8373, 971
193, 7365.05, 8373, 971
194, 4265.88, 8373, 971
195, 4723.13, 8373, 971
196, 4905.372, 8373, 971
197, 5290.302, 8373, 971
198, 5778.946, 8373, 971
199, 5760.524, 8373, 971
200, 5883.424, 8373, 971
201, 5916.44, 8373, 971
202, 6535.07, 8373, 971
203, 6463.038, 8373, 971
204, 6711.332, 8373, 971
205, 7001.692, 8373, 971
206, 6889.384, 8373, 971
207, 7129.05, 8373, 971
208, 7314.59, 8373, 971
209, 7346.634, 8373, 971
210, 7684.276, 8373, 971
211, 7552.044, 8373, 971
212, 7669.266, 8373, 971
213, 7655.644, 8373, 971
214, 6674.528, 8373, 971
215, 6939.454, 8373, 971
216, 6875.366, 8373, 971
217, 6992.816, 8373, 971
218, 7128.004, 8373, 971
219, 7412.686, 8373, 971
220, 6040.962, 8373, 971
221, 4163.962, 8373, 971
222, 4185.052, 8373, 971
223, 5191.26, 8373, 971
224, 5489.596, 8373, 971
225, 5322.332, 8373, 971
226, 5890.248, 8373, 971
227, 5993.62, 8373, 971
228, 5978.322, 8373, 971
229, 6461.06, 8373, 971
230, 6596.476, 8373, 971
231, 6731.892, 8373, 971
232, 6698.4, 8373, 971
233, 7184.034, 8373, 971
234, 6094.096, 8373, 971
235, 6161.08, 8373, 971
236, 6514.194, 8373, 971
237, 6798.876, 8373, 971
238, 6581.178, 8373, 971
239, 6847.666, 8373, 971
240, 6966.336, 8373, 971
241, 7234.272, 8373, 971
242, 7318.002, 8373, 971
243, 7284.51, 8373, 971
244, 7502.208, 8373, 971
245, 7585.938, 8373, 971
246, 7853.874, 8373, 971
247, 7803.636, 8373, 971
248, 7803.636, 8373, 971
249, 7803.636, 8373, 971
250, 7937.604, 8373, 971
251, 7971.096, 8373, 971
252, 7904.112, 8373, 971
253, 7870.62, 8373, 971
254, 7937.604, 8373, 971
255, 7786.89, 8373, 971
256, 7887.366, 8373, 971
257, 8054.826, 8373, 971
258, 8054.826, 8373, 971
259, 8121.81, 8373, 971
260, 8222.286, 8373, 971
261, 8121.81, 8373, 971
262, 8105.064, 8373, 971
263, 8272.524, 8373, 971
264, 5526.18, 8373, 971
265, 6045.306, 8373, 971
266, 6078.798, 8373, 971
267, 6363.48, 8373, 971
268, 6179.274, 8373, 971
269, 6729.826, 8373, 971
270, 6368.862, 8373, 971
271, 6871.29, 8373, 971
272, 6700.118, 8373, 971
273, 6182.866, 8373, 971
274, 5094.424, 8373, 971
275, 5427.494, 8373, 971
276, 5708.44, 8373, 971
277, 6145.698, 8373, 971
278, 5892.658, 8373, 971
279, 6145.722, 8373, 971
280, 5967.102, 8373, 971
281, 6136.424, 8373, 971
282, 6515.984, 8373, 971
283, 6908.614, 8373, 971
284, 6955.128, 8373, 971
285, 7288.198, 8373, 971
