generation_counter,fitness,best_fitness
1,74.8695652173913,82
2,76.69565217391305,82
3,78.91304347826087,82
4,80.56521739130434,83
5,81.0,84
6,81.21739130434783,84
7,81.47826086956522,84
8,81.95652173913044,86
9,82.78260869565217,86
10,83.82608695652173,87
11,84.78260869565217,87
12,84.8695652173913,87
13,84.8695652173913,87
14,85.78260869565217,89
15,86.0,89
16,86.65217391304348,91
17,86.52173913043478,91
18,86.78260869565217,91
19,87.3913043478261,91
20,87.82608695652173,91
21,87.43478260869566,91
22,87.43478260869566,91
23,87.91304347826087,91
24,87.73913043478261,91
25,88.69565217391305,92
26,88.91304347826087,92
27,89.21739130434783,93
28,90.04347826086956,93
29,89.78260869565217,94
30,90.1304347826087,94
31,90.78260869565217,94
32,91.1304347826087,94
33,91.43478260869566,94
34,92.30434782608695,95
35,91.8695652173913,96
36,92.56521739130434,96
37,92.26086956521739,96
38,92.34782608695652,96
39,92.73913043478261,96
40,92.8695652173913,97
41,94.43478260869566,97
42,94.82608695652173,98
43,94.91304347826087,98
44,95.95652173913044,98
45,95.95652173913044,98
46,96.26086956521739,98
47,95.82608695652173,98
48,96.1304347826087,98
49,96.1304347826087,98
50,96.26086956521739,98
