generation_counter,sum(fitness)
1,1881
2,1945
3,1988
4,2041
5,2044
6,2074
7,2119
8,2136
9,2171
10,2178
11,2175
12,2174
13,2203
14,2226
15,2241
16,2255
17,2274
18,2279
19,2277
20,2287
21,2305
22,2315
23,2340
24,2317
25,2345
