generation_counter,sum(fitness)
1,7429
2,7728
3,7858
4,7935
5,8075
6,8232
7,8377
8,8405
9,8558
10,8636
11,8692
12,8717
13,8750
14,8800
15,8819
16,8876
17,8944
18,8975
19,8993
20,9003
21,9071
22,9059
23,9155
24,9207
25,9260
26,9309
27,9367
28,9360
29,9392
30,9452
31,9479
32,9507
33,9497
34,9476
35,9491
