generation_counter,sum(fitness)
1,1722
2,1764
3,1815
4,1853
5,1863
6,1868
7,1874
8,1885
9,1904
10,1928
11,1950
12,1952
13,1952
14,1973
15,1978
16,1993
17,1990
18,1996
19,2010
20,2020
21,2011
22,2011
23,2022
24,2018
25,2040
26,2045
27,2052
28,2071
29,2065
30,2073
31,2088
32,2096
33,2103
34,2123
35,2113
36,2129
37,2122
38,2124
39,2133
40,2136
41,2172
42,2181
43,2183
44,2207
45,2207
46,2214
47,2204
48,2211
49,2211
50,2214
