generation_counter,fitness,best_fitness
1,287.42,306
2,289.61,306
3,291.54,306
4,293.93,306
5,296.86,314
6,297.92,314
7,298.27,314
8,301.73,314
9,303.5,316
10,304.88,316
11,306.22,316
12,307.37,316
13,307.9,316
14,308.68,320
15,308.6,320
16,308.64,320
17,308.84,320
18,307.1,320
19,308.89,320
20,310.25,320
21,311.24,320
22,312.58,320
23,312.4,320
24,313.15,320
25,312.85,322
26,313.12,322
27,314.76,322
28,314.66,324
29,315.08,326
30,315.07,326
31,315.82,326
32,315.72,326
33,316.99,326
34,317.63,328
35,317.46,328
36,317.8,330
37,317.92,330
38,319.81,330
39,321.64,330
40,322.6,332
41,323.34,334
42,323.38,334
43,324.38,334
44,325.09,334
45,325.18,334
46,325.94,334
47,325.31,334
48,325.62,334
49,325.98,334
50,325.3,334
51,326.36,334
52,327.07,334
53,327.89,334
54,328.54,334
55,329.42,336
56,329.4,336
57,329.18,336
58,329.68,336
59,329.04,336
60,329.44,336
61,329.3,336
62,330.24,336
63,329.85,336
64,329.8,336
65,330.17,336
66,330.59,336
67,330.72,336
68,330.25,336
69,330.49,336
70,329.92,336
71,330.01,336
72,331.12,336
73,330.38,336
74,329.64,336
75,330.24,336
76,330.67,336
77,330.88,336
78,331.1,338
79,331.65,338
80,330.95,338
81,331.63,338
82,330.91,338
83,331.53,338
84,331.58,338
85,331.25,338
86,330.58,338
87,330.84,338
88,331.22,338
89,331.82,338
90,330.44,338
91,330.89,338
92,330.62,338
93,329.49,338
94,329.79,338
95,329.94,338
96,330.03,338
97,331.09,338
98,330.16,338
99,329.93,338
100,330.07,338
101,328.39,338
102,330.15,338
103,330.33,338
104,330.4,338
105,330.6,338
106,330.52,338
107,330.96,338
108,331.11,338
109,331.94,338
110,331.78,338
111,332.03,338
112,331.41,338
113,331.88,338
114,330.23,338
115,329.45,338
116,329.39,338
117,329.07,338
118,330.39,338
119,331.11,338
120,330.49,338
121,331.13,338
122,331.44,338
123,331.47,338
124,331.47,338
125,331.1,338
126,330.76,338
127,330.1,338
128,328.68,338
129,328.67,338
130,329.48,338
131,329.61,338
132,329.92,338
133,330.88,340
134,331.1,340
135,332.03,340
136,331.67,340
137,332.58,340
138,333.94,340
139,332.2,340
140,332.46,340
141,332.56,340
142,333.32,340
143,333.28,340
144,332.94,340
145,333.39,340
146,332.99,340
147,333.25,340
148,334.44,340
149,335.62,340
150,334.64,340
151,335.04,340
152,334.69,340
153,334.78,340
154,334.54,340
155,334.73,340
156,334.74,340
157,334.67,340
158,333.35,340
159,333.63,340
160,333.32,340
161,333.12,340
162,332.72,340
163,334.25,340
164,334.02,340
165,334.47,340
166,335.16,340
167,335.28,340
168,335.16,340
169,336.34,340
170,336.26,340
171,335.82,340
172,335.15,340
173,335.34,340
174,336.25,340
175,335.29,340
176,335.0,340
177,335.1,340
178,334.58,340
179,334.38,340
180,334.06,340
181,334.45,340
182,333.94,340
183,334.29,340
184,333.55,340
185,333.7,340
186,333.71,340
187,332.64,340
188,332.75,340
189,332.94,340
190,332.6,340
191,332.77,340
192,333.29,340
193,333.2,340
194,333.88,340
195,334.68,340
196,333.25,340
197,333.47,340
198,332.65,340
199,333.52,340
200,334.33,340
