id, avg_value, best_value, best_weight
0, 0.0, 0, 0
1, 0.0, 0, 0
2, 0.0, 0, 0
3, 0.0, 0, 0
4, 0.0, 0, 0
5, 0.0, 0, 0
6, 0.0, 0, 0
7, 0.0, 0, 0
8, 0.0, 0, 0
9, 0.0, 0, 0
10, 0.0, 0, 0
11, 0.0, 0, 0
12, 0.0, 0, 0
13, 0.0, 0, 0
14, 0.0, 0, 0
15, 0.0, 0, 0
16, 0.0, 0, 0
17, 0.0, 0, 0
18, 0.0, 0, 0
19, 0.0, 0, 0
20, 63.418, 31709, 8961
21, 47.99, 23995, 7861
22, 0.0, 0, 0
23, 68.494, 19437, 10276
24, 0.0, 0, 0
25, 259.918, 31405, 6372
26, 80.676, 20890, 5134
27, 345.096, 30257, 6352
28, 550.204, 33334, 9822
29, 696.658, 39795, 9181
30, 1291.892, 36718, 9852
31, 788.806, 33068, 8878
32, 997.034, 44444, 9953
33, 1875.142, 55762, 9440
34, 2788.402, 47326, 7208
35, 2793.108, 51740, 6752
36, 3560.41, 54970, 9465
37, 3661.028, 56239, 8519
38, 6894.796, 55762, 9440
39, 5683.424, 59428, 9985
40, 8060.26, 62787, 10075
41, 8366.876, 62787, 10075
42, 7964.978, 68695, 10172
43, 12257.42, 68695, 10172
44, 15271.758, 68695, 10172
45, 15167.812, 69552, 9476
46, 20371.628, 69552, 9476
47, 15666.462, 76201, 9798
48, 18040.14, 76201, 9798
49, 17877.842, 76201, 9798
50, 17075.89, 76201, 9798
51, 16803.44, 76201, 9798
52, 19190.652, 76855, 8638
53, 24935.018, 82853, 10165
54, 21649.57, 82853, 10165
55, 21643.994, 82853, 10165
56, 24284.734, 82853, 10165
57, 23666.436, 82853, 10165
58, 30800.888, 82853, 10165
59, 19675.82, 82853, 10165
60, 21072.664, 82853, 10165
61, 17743.696, 82853, 10165
62, 19621.288, 82853, 10165
63, 21165.948, 82853, 10165
64, 23535.264, 82853, 10165
65, 25949.592, 82853, 10165
66, 29281.692, 82853, 10165
67, 32981.526, 82853, 10165
68, 34825.87, 82853, 10165
69, 40752.118, 82853, 10165
70, 42373.508, 83060, 9181
71, 39959.74, 83060, 9181
72, 38973.428, 88396, 9898
73, 35964.426, 88396, 9898
74, 27566.866, 88396, 9898
75, 26260.658, 88396, 9898
76, 29138.312, 88396, 9898
77, 31061.794, 88396, 9898
78, 31864.83, 88396, 9898
79, 16422.042, 88396, 9898
80, 10430.122, 88396, 9898
81, 12304.356, 88396, 9898
82, 21168.41, 88396, 9898
83, 12638.706, 88396, 9898
84, 17470.648, 88396, 9898
85, 13878.274, 88396, 9898
86, 16685.22, 88396, 9898
87, 17463.084, 88396, 9898
88, 24060.086, 88396, 9898
89, 24878.902, 88396, 9898
90, 26844.142, 88396, 9898
91, 30914.462, 88396, 9898
92, 36542.1, 88396, 9898
93, 37350.41, 88396, 9898
94, 41569.704, 88396, 9898
95, 30875.37, 88396, 9898
96, 24693.684, 88396, 9898
97, 28629.048, 88396, 9898
98, 33590.848, 88396, 9898
99, 35861.572, 88396, 9898
100, 33705.412, 88396, 9898
101, 32034.62, 88396, 9898
102, 23257.452, 88396, 9898
103, 24216.7, 88396, 9898
104, 25894.38, 88396, 9898
105, 29919.69, 88396, 9898
106, 28589.41, 88396, 9898
107, 33162.346, 88396, 9898
108, 33562.998, 88396, 9898
109, 33601.562, 88396, 9898
110, 38559.07, 88396, 9898
111, 37146.506, 88396, 9898
112, 32248.572, 88396, 9898
113, 26982.854, 88396, 9898
114, 28734.906, 88396, 9898
115, 23294.928, 88396, 9898
116, 27682.034, 88396, 9898
117, 30202.746, 88396, 9898
118, 31792.506, 88396, 9898
119, 36717.14, 88396, 9898
120, 37223.612, 88396, 9898
121, 38323.43, 88396, 9898
122, 40733.188, 88396, 9898
123, 44673.308, 88396, 9898
124, 45192.066, 88396, 9898
125, 29673.39, 88396, 9898
126, 32861.272, 88396, 9898
127, 28607.276, 88396, 9898
128, 25059.058, 88396, 9898
129, 20835.268, 88396, 9898
130, 22784.54, 88396, 9898
131, 24034.592, 88396, 9898
132, 22959.276, 88396, 9898
133, 25244.97, 88396, 9898
134, 25977.024, 88396, 9898
135, 32323.36, 88396, 9898
136, 27393.64, 88396, 9898
137, 32512.314, 88396, 9898
138, 31814.96, 88396, 9898
139, 20857.656, 88396, 9898
140, 19799.184, 88396, 9898
141, 25451.968, 88396, 9898
142, 26337.448, 88396, 9898
143, 28979.1, 88396, 9898
144, 33921.806, 88396, 9898
145, 31113.872, 88396, 9898
146, 31820.28, 88396, 9898
147, 34119.336, 88396, 9898
148, 34473.68, 88396, 9898
149, 36228.332, 88396, 9898
150, 38363.864, 88396, 9898
151, 40838.952, 88396, 9898
152, 36240.08, 88396, 9898
153, 29699.536, 88396, 9898
154, 23866.16, 88396, 9898
155, 23336.544, 88396, 9898
156, 29346.712, 88396, 9898
157, 33412.168, 88396, 9898
158, 37655.176, 88396, 9898
159, 39070.272, 88396, 9898
160, 41368.568, 88396, 9898
161, 51623.264, 88396, 9898
162, 37655.176, 88396, 9898
163, 24396.536, 88396, 9898
164, 24396.536, 88396, 9898
165, 16440.896, 88396, 9898
166, 19093.536, 88396, 9898
167, 22107.6, 88396, 9898
168, 13944.148, 88396, 9898
169, 15120.396, 88396, 9898
170, 18625.588, 88396, 9898
171, 18879.0, 88396, 9898
172, 26788.668, 88396, 9898
173, 26358.464, 88396, 9898
174, 26111.388, 88396, 9898
175, 30854.884, 88396, 9898
176, 26527.028, 88396, 9898
177, 28663.856, 88396, 9898
178, 27803.448, 88396, 9898
179, 30754.712, 88396, 9898
180, 36058.472, 88396, 9898
181, 40785.884, 88396, 9898
182, 42346.364, 88396, 9898
183, 42276.84, 88396, 9898
184, 50063.916, 88396, 9898
185, 52445.168, 88396, 9898
186, 61223.472, 88396, 9898
187, 59172.252, 88396, 9898
188, 60647.884, 88396, 9898
189, 61931.4, 88396, 9898
190, 67765.536, 88396, 9898
191, 67896.356, 88396, 9898
192, 71862.4, 88396, 9898
193, 68488.028, 88396, 9898
194, 71670.284, 88396, 9898
195, 73645.644, 88396, 9898
196, 75267.42, 88396, 9898
197, 78050.12, 88396, 9898
198, 79156.084, 88396, 9898
199, 75297.308, 88396, 9898
200, 63745.292, 88396, 9898
201, 63276.212, 88396, 9898
202, 68534.0, 88396, 9898
203, 69287.14, 88396, 9898
204, 64144.848, 88396, 9898
205, 69479.256, 88396, 9898
206, 68313.5, 88396, 9898
207, 59288.88, 88396, 9898
208, 61279.564, 88396, 9898
209, 68220.424, 88396, 9898
210, 67474.38, 88396, 9898
211, 41685.168, 88396, 9898
212, 32845.568, 88396, 9898
213, 28325.596, 88396, 9898
214, 35820.384, 88396, 9898
215, 22760.196, 88396, 9898
216, 28487.064, 88396, 9898
217, 24113.236, 88396, 9898
218, 19839.58, 88396, 9898
219, 20830.808, 88396, 9898
220, 19178.384, 88396, 9898
221, 23659.48, 88396, 9898
222, 21568.624, 88396, 9898
223, 23098.456, 88396, 9898
224, 20976.952, 88396, 9898
225, 21922.208, 88396, 9898
226, 13405.544, 88396, 9898
227, 19608.588, 88396, 9898
228, 22068.352, 88396, 9898
229, 27372.112, 88396, 9898
230, 32660.548, 88396, 9898
231, 27741.02, 88396, 9898
232, 30200.784, 88396, 9898
233, 35504.544, 88396, 9898
234, 38878.916, 88396, 9898
235, 29847.2, 88396, 9898
236, 17148.824, 88396, 9898
237, 20830.808, 88396, 9898
238, 19962.172, 88396, 9898
239, 22068.352, 88396, 9898
240, 21038.248, 88396, 9898
241, 22099.0, 88396, 9898
242, 24381.972, 88396, 9898
243, 18563.16, 88396, 9898
244, 10961.104, 88396, 9898
245, 16795.24, 88396, 9898
246, 16088.072, 88396, 9898
247, 18563.16, 88396, 9898
248, 24220.504, 88396, 9898
249, 14304.828, 88396, 9898
250, 18305.968, 88396, 9898
251, 21951.6, 88396, 9898
252, 23052.552, 88396, 9898
253, 27485.752, 88396, 9898
254, 25227.656, 88396, 9898
255, 32610.796, 88396, 9898
256, 34611.032, 88396, 9898
257, 36133.236, 88396, 9898
258, 41452.32, 88396, 9898
259, 45491.736, 88396, 9898
260, 46239.104, 88396, 9898
261, 50101.728, 88396, 9898
262, 39057.632, 88396, 9898
263, 41165.736, 88396, 9898
264, 46999.872, 88396, 9898
265, 45939.12, 88396, 9898
266, 50005.336, 88396, 9898
267, 38310.264, 88396, 9898
268, 35861.976, 88396, 9898
269, 40295.176, 88396, 9898
270, 31455.576, 88396, 9898
